Ingredient,Frequency,Percentage
"minerals",957,54.16%
"beet pulp",451,25.52%
"glucosamine",406,22.98%
"salmon oil",400,22.64%
"peas",354,20.03%
"maize",327,18.51%
"rice",318,18.00%
"linseed",311,17.60%
"sweet potato",291,16.47%
"fish oil",261,14.77%
"chicken fat",249,14.09%
"seaweed",234,13.24%
"potato",226,12.79%
"vitamins",175,9.90%
"poultry fat",164,9.28%
"chondroitin",158,8.94%
"yucca extract",155,8.77%
"brewers yeast",152,8.60%
"dried beet pulp",152,8.60%
"chondroitin sulphate",146,8.26%
"barley",142,8.04%
"wheat",141,7.98%
"chicken",140,7.92%
"yeast",140,7.92%
"brown rice",139,7.87%
"alfalfa",131,7.41%
"sunflower oil",129,7.30%
"carrot",129,7.30%
"dried carrot",127,7.19%
"fructooligosaccharides",114,6.45%
"oats",112,6.34%
"sodium chloride",110,6.23%
"carrots",107,6.06%
"parsley",105,5.94%
"yucca schidigera",105,5.94%
"potassium chloride",102,5.77%
"whole linseed",99,5.60%
"cereals",97,5.49%
"fos",95,5.38%
"pea protein",93,5.26%
"rosemary",93,5.26%
"turmeric",92,5.21%
"hydrolysed animal proteins",91,5.15%
"cranberry",90,5.09%
"fructo-oligosaccharides",90,5.09%
"animal fats",88,4.98%
"soya oil",86,4.87%
"chicken gravy",86,4.87%
"animal fat",84,4.75%
"spinach",83,4.70%
"pea starch",83,4.70%
"minerals.",81,4.58%
"oils and fats",81,4.58%
"apple",80,4.53%
"vegetable stock",77,4.36%
"dehydrated poultry protein",76,4.30%
"potato protein",76,4.30%
"derivatives of vegetable origin",76,4.30%
"dried seaweed",75,4.24%
"vegetable fibres",71,4.02%
"marigold",71,4.02%
"fresh chicken",71,4.02%
"omega 3 supplement",71,4.02%
"yucca extract.",70,3.96%
"fish meal",70,3.96%
"dried apple",67,3.79%
"chondroitin sulphate.",67,3.79%
"digest",65,3.68%
"yeast extract",65,3.68%
"brewer's yeast",65,3.68%
"mannanoligosaccharides",64,3.62%
"antioxidants.",63,3.57%
"burdock root",63,3.57%
"lucerne",62,3.51%
"pea fibre",62,3.51%
"white rice",62,3.51%
"vegetables",62,3.51%
"calcium carbonate",61,3.45%
"chicory root",61,3.45%
"msm",61,3.45%
"methylsulfonylmethane",60,3.40%
"dried egg",60,3.40%
"thyme",60,3.40%
"aniseed",60,3.40%
"marigold extract",59,3.34%
"meat and animal derivatives",58,3.28%
"cranberries",58,3.28%
"flaxseed",58,3.28%
"chickpeas",58,3.28%
"oregano",55,3.11%
"yucca",54,3.06%
"chicken meal",54,3.06%
"maize gluten",54,3.06%
"chicory",54,3.06%
"cranberry extract",53,3.00%
"fenugreek",53,3.00%
"dried peas",52,2.94%
"potato starch",52,2.94%
"chicory extract",51,2.89%
"dried cranberry",51,2.89%
"tapioca",51,2.89%
"chicory root extract",50,2.83%
"ginger",50,2.83%
"vegetable protein isolate",49,2.77%
"mannan-oligosaccharides",49,2.77%
"rosemary extract.",48,2.72%
"mixed herbs",48,2.72%
"prebiotic mos",47,2.66%
"dried whole egg",47,2.66%
"dried carrots",47,2.66%
"green tea extract",46,2.60%
"salmon",46,2.60%
"psyllium",46,2.60%
"lignocellulose",45,2.55%
"pumpkin",45,2.55%
"mos",43,2.43%
"maize gluten meal",43,2.43%
"blackcurrant",43,2.43%
"milk thistle",43,2.43%
"broccoli",43,2.43%
"mos.",43,2.43%
"dried spinach",43,2.43%
"rapeseed oil",43,2.43%
"tomato pomace",42,2.38%
"apples",41,2.32%
"green tea",41,2.32%
"sugar beet pulp",41,2.32%
"dried chicory root",41,2.32%
"dried kelp",41,2.32%
"potatoes",41,2.32%
"hydrolysed yeast",40,2.26%
"chicken liver",40,2.26%
"nettle",40,2.26%
